File,BPP,D1-PSNR,D2-PSNR,ChamferDist,EncodeTime,DecodeTime
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000001.bin,1.421362212,62.4938,67.1583,0.002871649,3.146288157,4.53956008
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000093.bin,1.394310891,62.4328,67.2222,0.002881784,2.569956303,3.631250858
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000185.bin,1.197679391,62.4756,67.2974,0.002839936,2.232573032,3.055224657
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000277.bin,1.503391012,62.4421,67.2409,0.00287999,2.708703041,4.132418871
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000369.bin,1.31667188,62.4533,67.0814,0.002876078,2.888594389,4.261656284
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000461.bin,1.952033701,62.4299,67.1776,0.002926438,3.450496435,5.631834269
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000553.bin,1.84245412,62.4922,67.2733,0.002892908,3.6511693,6.440075636
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000645.bin,1.036733288,62.4358,67.1076,0.002860091,2.498855591,3.709629774
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000737.bin,1.258756518,62.4494,67.1749,0.002868723,2.661617756,4.042749166
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000829.bin,1.187567533,62.4518,67.3018,0.002835505,2.158478022,3.053280354
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000001.bin,2.798125215,62.4633,67.2029,0.002946686,4.889195919,9.014972925
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000107.bin,3.534540634,62.5173,67.2965,0.002940193,6.463043213,14.19751191
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000213.bin,2.426800183,62.5049,67.4013,0.002897592,3.660073519,6.351094484
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000319.bin,2.356039792,62.4926,67.3805,0.002904273,3.671798706,6.362340689
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000425.bin,2.340118232,62.5022,67.2984,0.002898242,3.815696478,6.715444326
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000531.bin,2.932490067,62.4857,67.233,0.002939562,5.051184654,10.0023582
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000637.bin,3.329550579,62.4916,67.2139,0.002958332,5.378642797,11.3344276
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000743.bin,3.124797766,62.4916,67.2568,0.002937873,4.589427948,8.926595211
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000849.bin,2.961801484,62.5066,67.2622,0.002930149,5.084740162,10.30322266
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000955.bin,2.515576464,62.4963,67.2031,0.002932478,4.856795549,9.831911087
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/13/velodyne/000001.bin,1.450515321,62.5479,67.3459,0.002804305,2.898287058,3.897696018
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/13/velodyne/000329.bin,1.390792219,62.5661,67.3647,0.002809588,2.748905659,4.198671341
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/13/velodyne/000657.bin,1.65286794,62.4702,67.199,0.002887383,3.170428753,4.89729023
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/13/velodyne/000985.bin,2.366818557,62.5021,67.277,0.002907001,4.055604458,7.221340418
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/13/velodyne/001313.bin,1.602011494,62.4935,67.205,0.002869118,2.734212875,4.245147228
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/13/velodyne/001641.bin,1.942633974,62.5072,67.1635,0.002898478,3.651786327,6.212697744
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/13/velodyne/001969.bin,2.267047588,62.5163,67.2451,0.002909366,4.225283861,7.648819447
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/13/velodyne/002297.bin,1.10488964,62.4888,67.0989,0.002819771,2.00438714,2.688820601
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/13/velodyne/002625.bin,1.351513751,62.4775,67.1735,0.002843699,2.387812853,3.248201132
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/13/velodyne/002953.bin,1.863590524,62.4202,67.1352,0.002923996,3.074322701,4.705561876
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/14/velodyne/000001.bin,2.40018649,62.4595,67.1578,0.002934703,4.476341486,7.677871943
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/14/velodyne/000064.bin,1.608444571,62.487,67.3856,0.002847614,2.782382488,4.027781963
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/14/velodyne/000127.bin,1.444657172,62.4762,67.3648,0.002856707,2.612891436,3.926776409
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/14/velodyne/000190.bin,2.12357859,62.4615,67.1864,0.002922307,4.25577569,7.763290644
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/14/velodyne/000253.bin,2.470237487,62.4677,67.1954,0.00294447,5.345584393,10.46898293
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/14/velodyne/000316.bin,2.364091419,62.4528,67.258,0.002917089,3.736976624,6.394914627
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/14/velodyne/000379.bin,2.154021002,62.5022,67.4473,0.002875751,3.320394516,5.40284586
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/14/velodyne/000442.bin,2.425528237,62.4827,67.25,0.002929852,4.708835363,9.090926886
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/14/velodyne/000505.bin,1.392389817,62.4819,67.4022,0.002841749,2.549452066,3.841705084
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/14/velodyne/000568.bin,1.324676742,62.5274,67.5484,0.002801527,2.197789907,3.153794765
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/15/velodyne/000001.bin,1.556467354,62.4768,67.3179,0.00286823,3.052116156,4.204940796
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/15/velodyne/000191.bin,1.420453347,62.4833,67.2764,0.002847168,2.536632776,3.62431097
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/15/velodyne/000381.bin,2.349211737,62.5022,67.3701,0.00289635,4.200082541,7.390129566
