File,BPP,D1-PSNR,D2-PSNR,ChamferDist,EncodeTime,DecodeTime
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000001.bin,0.084751486,44.3965,48.5741,0.168091514,0.422165155,0.117130518
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000093.bin,0.14899646,44.3777,49.1838,0.166580664,0.175475359,0.067970514
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000185.bin,0.073652699,44.2174,49.1399,0.165968393,0.160480261,0.05685854
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000277.bin,0.136337707,44.4317,48.8127,0.165318784,0.173607111,0.064609528
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000369.bin,0.084954645,44.4592,48.6213,0.16693315,0.214699268,0.109533787
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000461.bin,0.159313217,44.3267,49.2832,0.168602537,0.225712299,0.183199406
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000553.bin,0.1814519,44.511,49.0867,0.168623963,0.275936365,0.17134738
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000645.bin,0.097287653,44.8297,49.0353,0.156851201,0.220637798,0.112424612
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000737.bin,0.095306859,44.2793,48.9823,0.170644572,0.211167812,0.178288221
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000829.bin,0.106781923,44.4216,48.9568,0.16813147,0.170749664,0.063005686
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000001.bin,0.252584008,44.1886,49.1572,0.177022606,0.647276163,0.332669497
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000107.bin,0.357261224,44.3376,49.3421,0.174544596,0.60717392,0.503466368
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000213.bin,0.122692022,44.4061,49.4568,0.164265157,0.211010695,0.176614046
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000319.bin,0.122216959,44.3443,49.4407,0.164935973,0.210682631,0.111875296
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000425.bin,0.200389628,44.4602,49.7057,0.166105332,0.264380217,0.169963598
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000531.bin,0.234103624,44.3548,49.4325,0.170392465,0.402643919,0.395105839
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000637.bin,0.353374418,44.372,49.284,0.175611356,0.485521078,0.511582851
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000743.bin,0.301163941,44.3299,49.6331,0.173367619,0.355377197,0.347373009
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000849.bin,0.274159727,44.3266,49.3258,0.174168903,0.444474697,0.386496782
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000955.bin,0.206407619,44.3813,49.4765,0.168863442,0.421081543,0.277454138
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/13/velodyne/000001.bin,0.125475068,44.6564,48.7327,0.164894563,0.420825005,0.121843576
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/13/velodyne/000329.bin,0.115231877,44.4795,48.9111,0.16627437,0.211982727,0.111762524
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/13/velodyne/000657.bin,0.124315495,44.5633,49.441,0.16321714,0.258494139,0.164489746
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/13/velodyne/000985.bin,0.21765534,44.4946,49.1482,0.169771432,0.314056635,0.289656639
