File,BPP,D1-PSNR,D2-PSNR,ChamferDist,EncodeTime,DecodeTime
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000001.bin,6.46197099,80.4504,85.2356,4.76E-05,19.69901538,79.41949296
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000093.bin,7.014538086,80.4422,85.2392,4.76E-05,17.3914845,66.76416421
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000185.bin,6.496219732,80.4469,85.2206,4.76E-05,16.46711087,64.24742579
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000277.bin,7.033783356,80.4397,85.2468,4.77E-05,18.599684,77.40251255
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000369.bin,6.45048483,80.4548,85.2285,4.76E-05,19.43109846,79.66122961
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000461.bin,7.566675709,80.4477,85.2042,4.77E-05,20.0278616,87.48813987
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000553.bin,7.287907157,80.4476,85.2286,4.76E-05,19.9057045,89.7316227
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000645.bin,5.646502747,80.4604,85.2488,4.75E-05,16.77994394,66.85163474
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000737.bin,6.035972724,80.4502,85.2217,4.77E-05,18.28369379,74.60516071
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000829.bin,6.334201996,80.4693,85.2609,4.74E-05,16.38632894,62.61853385
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000001.bin,8.995719065,80.4455,85.2179,4.77E-05,21.51103139,92.4961803
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000107.bin,9.802010657,80.4386,85.1959,4.77E-05,24.99281693,115.1360357
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000213.bin,9.223382244,80.4556,85.2185,4.76E-05,21.75465155,94.7128036
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000319.bin,9.149471025,80.4282,85.1876,4.79E-05,20.81814718,95.15565515
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000425.bin,8.208988311,80.4545,85.2347,4.76E-05,18.99919415,84.99318576
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000531.bin,9.310370551,80.4552,85.2123,4.76E-05,22.72671986,109.4273379
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000637.bin,9.407109575,80.4419,85.2026,4.77E-05,21.59005928,92.21415639
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000743.bin,9.419952481,80.4461,85.2141,4.77E-05,19.7210083,83.57021999
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000849.bin,8.904781876,80.4489,85.2137,4.76E-05,21.12049723,99.72834849
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000955.bin,8.122415192,80.4333,85.1681,4.78E-05,21.96462703,101.4274166
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/13/velodyne/000001.bin,6.752245589,80.4408,85.2272,4.77E-05,17.9379766,69.59596705
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/13/velodyne/000329.bin,6.847613919,80.4375,85.1868,4.77E-05,16.96029186,70.24373007
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/13/velodyne/000657.bin,6.982116106,80.4467,85.2329,4.76E-05,18.57350039,75.67555523
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/13/velodyne/000985.bin,8.119423873,80.445,85.2284,4.77E-05,20.61085796,87.85158134
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/13/velodyne/001313.bin,6.784913793,80.4473,85.1895,4.77E-05,16.56975055,65.27692962
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/13/velodyne/001641.bin,7.274837426,80.4425,85.221,4.77E-05,17.95504045,72.37310243
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/13/velodyne/001969.bin,7.851310097,80.4511,85.2437,4.76E-05,21.32694769,95.67288327
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/13/velodyne/002297.bin,5.988314296,80.4498,85.237,4.76E-05,14.16146564,51.86793399
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/13/velodyne/002625.bin,6.509230414,80.4433,85.2243,4.77E-05,14.99817276,56.52591801
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/13/velodyne/002953.bin,7.385998125,80.4562,85.245,4.76E-05,17.30618668,69.39229703
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/14/velodyne/000001.bin,8.720182493,80.4458,85.2212,4.77E-05,21.846421,93.84562898
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/14/velodyne/000064.bin,8.184480419,80.4591,85.2161,4.76E-05,18.72024894,76.97505689
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/14/velodyne/000127.bin,7.592808779,80.4538,85.236,4.76E-05,17.63388419,74.39692378
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/14/velodyne/000190.bin,8.145872706,80.4517,85.2052,4.77E-05,21.74141788,96.69019437
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/14/velodyne/000253.bin,8.68229982,80.4575,85.2036,4.76E-05,25.49970269,112.1735468
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/14/velodyne/000316.bin,9.059369042,80.4527,85.225,4.76E-05,20.86846566,96.31576014
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/14/velodyne/000379.bin,8.978709823,80.4581,85.2248,4.76E-05,20.1339047,91.68367028
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/14/velodyne/000442.bin,8.592159544,80.4498,85.2191,4.77E-05,23.37681818,107.2584212
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/14/velodyne/000505.bin,7.413460561,80.4587,85.2592,4.75E-05,17.87113166,72.11019802
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/14/velodyne/000568.bin,7.691916791,80.4526,85.2433,4.76E-05,16.67595792,65.89976358
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/15/velodyne/000001.bin,7.178424889,80.4349,85.2054,4.78E-05,18.69606972,77.78323317
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/15/velodyne/000191.bin,6.819253837,80.4576,85.2353,4.76E-05,17.42582583,69.60460615
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/15/velodyne/000381.bin,8.53007959,80.4484,85.2336,4.76E-05,20.56115365,89.11658072
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/15/velodyne/000571.bin,6.466091483,80.452,85.2448,4.76E-05,16.99621558,66.594239
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/15/velodyne/000761.bin,7.932957518,80.4411,85.2183,4.78E-05,18.08654761,78.48394871
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/15/velodyne/000951.bin,7.121904273,80.4372,85.2113,4.78E-05,21.07033181,88.81888413
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/15/velodyne/001141.bin,6.580911165,80.4625,85.2458,4.74E-05,17.29995298,68.515589
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/15/velodyne/001331.bin,7.610516444,80.4526,85.2315,4.77E-05,18.10069156,75.2035625
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/15/velodyne/001521.bin,7.09454729,80.4527,85.2272,4.76E-05,19.02123213,80.08443022
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/15/velodyne/001711.bin,6.420025686,80.4417,85.2148,4.77E-05,18.55681276,76.0749619
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/16/velodyne/000001.bin,6.980038472,80.4592,85.2495,4.76E-05,21.55138469,88.43508339
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/16/velodyne/000174.bin,6.872938515,80.4513,85.216,4.75E-05,18.00986791,74.66173029
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/16/velodyne/000347.bin,7.189668899,80.445,85.2051,4.77E-05,20.33260703,82.28496122
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/16/velodyne/000520.bin,7.717214899,80.4465,85.2035,4.77E-05,20.63767648,93.22767973
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/16/velodyne/000693.bin,7.040124369,80.4423,85.2011,4.77E-05,17.82058811,75.11232233
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/16/velodyne/000866.bin,6.961984208,80.4413,85.2099,4.77E-05,21.07164693,88.33801413
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/16/velodyne/001039.bin,7.532967527,80.4428,85.2093,4.77E-05,19.82745028,87.90131497
/home/haoran/Public/Dataset/data_odometry_velodyne/dataset/sequences/16/velodyne/001212.bin,7.355008009,80.4525,85.2217,4.76E-05,18.34602094,78.90959764
